AT SMY  174.1031 52.7308
TA F04A  -122.4193 45.9325
TA F05A  -121.4588 45.8839
TA F06A  -120.7817 45.7664
TA F07A  -119.9278 45.8951
TA F08A  -118.7768 45.7971
TA F09A  -117.9094 45.7087
TA F10A  -117.2277 45.9734
TA F11A  -116.1549 45.8883
TA F12A  -115.2547 45.7565
TA F13A  -114.3317 45.7893
TA F14A  -113.3699 45.8122
TA F15A  -112.4929 45.8409
TA F16A  -111.6262 45.7843
TA F17A  -110.659 45.9054
TA F18A  -109.7158 45.9046
TA F19A  -108.9437 45.8538
TA F20A  -108.1488 45.8006
TA F21A  -107.1233 45.8231
TA G03A  -123.2811 45.3153
TA G04A  -122.4784 45.2059
TA G05A  -121.3167 45.2422
TA G06A  -120.6351 45.2357
TA G07A  -119.6692 45.2664
TA G08A  -118.9595 45.2904
TA G09A  -117.7802 45.2781
TA G10A  -117.1204 45.2925
TA G11A  -116.268 45.3997
TA G12A  -115.3257 45.1285
TA G13A  -114.2329 45.0931
TA G14A  -113.4604 45.2432
TA G15A  -112.4887 45.166
TA G16A  -111.8046 45.2285
TA G17A  -110.7398 45.3212
TA G18A  -109.5631 45.3171
TA G20A  -108.2141 45.2202
TA G21A  -107.207 45.225
TA H02A  -123.9997 44.6764
TA H03A  -123.2923 44.6765
TA H04A  -122.1862 44.6837
TA H05A  -121.2271 44.6473
TA H06A  -120.3346 44.7344
TA H07A  -119.5646 44.5913
TA H08A  -118.6704 44.5191
TA H09A  -117.6643 44.6653
TA H10A  -116.7474 44.589
TA H11A  -116.0127 44.7035
TA H12A  -114.8554 44.5494
TA H13A  -114.2545 44.5642
TA H14A  -113.3674 44.6165
TA H15A  -112.6439 44.6173
TA H16A  -111.2478 44.7038
TA H17A  -110.5762 44.3951
TA H18A  -109.6641 44.6769
TA H19A  -108.9857 44.6704
TA H20A  -107.999 44.4868
TA H21A  -107.0423 44.6277
TA H22A  -106.3521 44.5943
TA HAST  -121.5514 36.3887
TA HATC  -121.4612 40.8161
TA HELL  -119.0228 36.6801
TA I02A  -123.8299 44.0035
TA I03A  -123.2777 43.9726
TA I04A  -122.4113 43.7941
TA I05A  -121.2675 44.1626
TA I06A  -120.2107 43.9437
TA I07A  -119.5042 44.082
TA I08A  -118.5692 43.9104
TA I09A  -117.7407 43.9733
TA I10A  -116.8029 44.086
TA I11A  -115.9578 43.9121
TA I12A  -115.1328 43.7945
TA I13A  -114.1169 43.9146
TA I14A  -113.4518 43.9286
TA I15A  -112.485 43.9997
TA I16A  -111.4868 43.8756
TA I17A  -110.5759 43.92
TA I18A  -109.8171 43.7013
TA I19A  -108.9943 44.0363
TA I20A  -108.1283 43.9496
TA I21A  -107.292 43.8122
TA I22A  -106.484 43.8924
TA J02A  -123.5747 43.3654
TA J03A  -122.9646 43.3717
TA J04A  -122.1093 43.2406
TA J05A  -121.2357 43.2843
TA J06A  -120.1528 43.2515
TA J07A  -119.3105 43.3736
TA J08A  -118.4743 43.358
TA J09A  -117.7542 43.3471
TA J10A  -116.767 43.4275
TA J11A  -115.8278 43.4151
TA J12A  -115.098 43.25
TA J13A  -114.1742 43.3979
TA J14A  -113.5178 43.3234
TA J15A  -112.4334 43.3998
TA J16A  -111.6119 43.2741
TA J17A  -110.7118 43.3629
TA J18A  -110.02 43.2112
TA J19A  -109.0531 43.2649
TA J20A  -108.0842 43.3531
TA J21A  -107.4459 43.3459
TA J22A  -106.4785 43.4126
TA K01A  -124.4692 42.8088
TA K02A  -123.4898 42.7667
TA K04A  -121.7307 42.6133
TA K05A  -120.8934 42.7258
TA K06A  -120.251 42.7991
TA K07A  -119.2469 42.6912
TA K08A  -118.4864 42.7308
TA K09A  -117.7251 42.6996
TA K10A  -116.8705 42.7779
TA K11A  -116.0323 42.7713
TA K12A  -114.9029 42.636
TA K13A  -114.084 42.6493
TA K14A  -113.176 42.5452
TA K15A  -112.5305 42.6852
TA K16A  -111.5884 42.8321
TA K17A  -110.9201 42.7507
TA K18A  -110.0417 42.6372
TA K19A  -108.8466 42.8247
TA K20A  -108.3418 42.6579
TA K21A  -107.251 42.6332
TA K22A  -106.524 42.6507
TA L02A  -123.6018 42.156
TA L04A  -121.891 42.175
TA L05A  -120.8336 42.0472
TA L07A  -119.3398 42.0187
TA L08A  -118.3445 42.1901
TA L09A  -117.6667 42.0192
TA L10A  -116.4711 42.0773
TA L11A  -115.7541 42.1669
TA L12A  -115.0162 42.146
TA L13A  -113.9444 42.0886
TA L14A  -113.2398 42.0343
TA L15A  -112.386 42.0041
TA L16A  -111.4319 42.0149
TA L17A  -110.8727 42.0995
TA L18A  -110.0364 41.9243
TA L19A  -109.3575 42.1012
TA L20A  -108.3398 42.0073
TA L21A  -107.3695 41.9641
TA L22A  -106.4338 42.031
TA L23A  -105.7012 42.1143
TA L24A  -104.9326 42.0432
TA LAVA  -120.7395 38.7552
TA M01C  -124.1221 41.8473
TA M02C  -122.8538 41.392
TA M03C  -122.122 41.2742
TA M04C  -121.8393 41.7826
TA M05C  -121.1457 41.3593
TA M06C  -120.4772 41.2047
TA M07A  -119.1711 41.3884
TA M08A  -118.3792 41.4483
TA M09A  -117.4497 41.423
TA M10A  -116.5396 41.522
TA M11A  -115.7912 41.4311
TA M12A  -114.9151 41.4157
TA M13A  -114.1655 41.3602
TA M14A  -113.3471 41.503
TA M15A  -112.4477 41.4632
TA M16A  -111.6298 41.3146
TA M17A  -110.6664 41.4729
TA M18A  -110.0674 41.4272
TA M19A  -109.1569 41.5047
TA M20A  -108.1865 41.4906
TA M21A  -107.3635 41.6067
TA M22A  -106.5958 41.4033
TA M23A  -105.7221 41.468
TA M24A  -104.8248 41.4676
TA MDND  -99.6029 47.8481
TA MSTX  -102.7724 33.9696
TA N02C  -123.3057 40.822
TA N06A  -119.8346 40.7484
TA N07B  -118.9711 40.7797
TA N08A  -118.1337 40.7811
TA N09A  -117.5244 40.852
TA N10A  -116.508 40.7186
TA N11A  -115.736 40.8167
TA N12A  -115.0387 40.8522
TA N13A  -114.2045 40.8556
TA N14A  -113.1867 40.8513
TA N15A  -112.5201 40.8903
TA N16A  -111.437 40.8869
TA N17A  -110.8335 40.9425
TA N18A  -109.6731 40.9763
TA N19A  -109.1772 40.8936
TA N20A  -108.2626 40.8338
TA N21A  -107.5196 40.76
TA N22A  -106.4544 40.8023
TA N23A  -105.944 40.8947
TA N24A  -104.8824 40.8271
TA N25A  -104.0873 40.8132
TA O01C  -123.8195 40.1398
TA O02C  -122.7883 40.1767
TA O03C  -122.0319 39.9971
TA O04C  -121.086 40.32
TA O05C  -120.9176 39.962
TA O06A  -119.8275 40.165
TA O07A  -118.8772 40.1614
TA O08A  -118.155 40.2903
TA O09A  -117.1899 40.1697
TA O10A  -116.4999 40.2917
TA O11A  -115.657 40.1313
TA O12A  -114.7454 40.2679
TA O13A  -113.9814 40.1314
TA O15A  -112.4694 40.2807
TA O16A  -111.5024 40.2067
TA O17A  -110.7378 40.1948
TA O18A  -110.0082 40.2655
TA O19A  -109.1236 40.2982
TA O20A  -108.2416 40.1348
TA O21A  -107.4705 40.2149
TA O22A  -106.547 40.1618
TA O23A  -105.9178 40.2109
TA O24A  -105.0729 40.1227
TA O25A  -104.1201 40.1129
TA P01C  -123.3375 39.469
TA P05C  -120.6077 39.3028
TA P06A  -119.8983 39.6785
TA P07A  -118.8893 39.5399
TA P08A  -118.08 39.6946
TA P09A  -117.1395 39.5516
TA P10A  -116.4639 39.6202
TA P11A  -115.7536 39.553
TA P12A  -114.9075 39.4731
TA P13A  -114.0156 39.455
TA P14A  -113.0687 39.5906
TA P15A  -112.2786 39.5708
TA P16A  -111.6595 39.6092
TA P17A  -110.74 39.473
TA P18A  -110.2457 39.6279
TA P19A  -108.9812 39.6333
TA P20A  -108.3912 39.4998
TA P21A  -107.4493 39.524
TA P22A  -106.7589 39.5952
TA P23A  -105.8388 39.3741
TA P24A  -104.9082 39.5144
TA P25A  -104.168 39.5125
TA Q03C  -122.0145 38.6333
TA Q04C  -121.3769 38.839
TA Q07A  -118.8078 38.9383
TA Q08A  -117.9316 38.8606
TA Q09A  -117.1816 38.834
TA Q10A  -116.3999 38.8247
TA Q11A  -115.6541 38.8455
TA Q12A  -114.8299 39.04
TA Q13A  -114.0202 38.9551
TA Q14A  -113.2769 38.9882
TA Q15A  -112.3793 38.9995
TA Q16A  -111.1716 38.9176
TA Q18A  -110.1328 39.1025
TA Q19A  -109.263 38.9553
TA Q20A  -108.2956 38.9541
TA Q21A  -107.5738 38.8347
TA Q22A  -106.9096 38.8627
TA Q23A  -105.8337 38.9045
TA Q24A  -105.1492 38.9641
TA Q25A  -104.2472 38.9145
TA R04C  -120.9363 38.2571
TA R05C  -120.0755 38.7028
TA R06C  -119.4509 38.5226
TA R07C  -119.0469 38.089
TA R08A  -118.1064 38.3489
TA R09A  -117.0718 38.2397
TA R10A  -116.3021 38.2886
TA R11A  -115.5854 38.3489
TA R12A  -114.6076 38.3281
TA R13A  -113.9691 38.1802
TA R14A  -113.0213 38.2987
TA R15A  -112.2767 38.2108
TA R16A  -111.4827 38.2843
TA R17A  -110.7109 38.4187
TA R18A  -109.8942 38.3862
TA R19A  -109.2607 38.2916
TA R20A  -108.3792 38.1888
TA R21A  -107.5501 38.3685
TA R22A  -106.7561 38.2289
