K02A  -123.4898 42.7667
K04A  -121.7307 42.6133
K05A  -120.8934 42.7258
K06A  -120.251 42.7991
K07A  -119.2469 42.6912
K08A  -118.4864 42.7308
K09A  -117.7251 42.6996
K10A  -116.8705 42.7779
K11A  -116.0323 42.7713
K12A  -114.9029 42.636
K13A  -114.084 42.6493
K14A  -113.176 42.5452
K15A  -112.5305 42.6852
K16A  -111.5884 42.8321
K17A  -110.9201 42.7507
K18A  -110.0417 42.6372
K19A  -108.8466 42.8247
K20A  -108.3418 42.6579
K21A  -107.251 42.6332
K22A  -106.524 42.6507
KCC  -119.3187 37.32363
KDAK  -152.5835 57.7828
KSU1  -96.6094 39.1009
KVTX  -97.8929 27.5459
L02A  -123.6018 42.156
L04A  -121.891 42.175
L05A  -120.8336 42.0472
L07A  -119.3398 42.0187
L08A  -118.3445 42.1901
L09A  -117.6667 42.0192
L10A  -116.4711 42.0773
L11A  -115.7541 42.1669
L12A  -115.0162 42.146
L13A  -113.9444 42.0886
L14A  -113.2398 42.0343
L15A  -112.386 42.0041
L16A  -111.4319 42.0149
L17A  -110.8727 42.0995
L18A  -110.0364 41.9243
L19A  -109.3575 42.1012
L20A  -108.3398 42.0073
L21A  -107.3695 41.9641
L22A  -106.4338 42.031
L23A  -105.7012 42.1143
L24A  -104.9326 42.0432
LAO  -106.2231 46.6885
LAVA  -120.7395 38.7552
LBNH  -71.9259 44.2401
LGU  -119.0659 34.10819
LONY  -74.5829 44.6197
LRAL  -86.9978 33.0348
LRL  -117.6821 35.47954
LTX  -103.6669 29.3339
M01C  -124.1221 41.8473
M02C  -122.8538 41.392
M03C  -122.122 41.2742
M04C  -121.8393 41.7826
M05C  -121.1457 41.3593
M06C  -120.4772 41.2047
M07A  -119.1711 41.3884
M08A  -118.3792 41.4483
M09A  -117.4497 41.423
M10A  -116.5396 41.522
M11A  -115.7912 41.4311
M12A  -114.9151 41.4157
M13A  -114.1655 41.3602
M14A  -113.3471 41.503
M15A  -112.4477 41.4632
M16A  -111.6298 41.3146
M17A  -110.6664 41.4729
M18A  -110.0674 41.4272
M19A  -109.1569 41.5047
M20A  -108.1865 41.4906
M21A  -107.3635 41.6067
M22A  -106.5958 41.4033
M23A  -105.7221 41.468
M24A  -104.8248 41.4676
MAP0  -123.8298 44.0035
MCCM  -122.8802 38.14478
MCWV  -79.8456 39.6581
MDND  -99.6029 47.8481
ME01  -123.4034 41.7752
ME02  -122.3372 41.6898
ME03  -123.881 41.702
